,Days NO to DE,Days DE to NO,CO2,Norwegian Balance,Norwegian export
334,35.0,2.0,127.98010298643165,-1.1867062641945467,6.066095151938286
335,40.0,2.0,111.38147502184208,1.6284297924243725,6.825057390326439
336,38.0,1.0,126.04926885870339,-0.41749102130682625,5.667018210866626
337,35.0,5.0,110.02906499323517,0.5030057577179831,4.576930567748711
338,31.0,1.0,122.9951389970243,-2.0217525986522777,5.149752641348205
339,35.0,2.0,117.20225360378579,0.14999362815457862,4.9547275735521
340,44.0,0.0,118.41209356330285,1.0375827265524469,7.504970584985328
341,35.0,3.0,115.53633759939697,0.060951381134410856,4.0101438818971955
342,33.0,2.0,125.65083747309927,0.18643478364338448,5.284122434460415
343,43.0,4.0,121.23821639362548,2.5438445379719083,5.6915100796287
344,38.0,3.0,119.23104020008594,2.4984860348064597,6.51583176602093
345,35.0,3.0,128.73661599660247,-0.8454878290846709,4.851445399818598
346,36.0,2.0,121.3673696309943,0.8074372223016592,6.700717479142561
347,29.0,1.0,112.52052456460544,-3.7569427294086406,5.710187306955451
348,37.0,2.0,109.79965250734081,1.0224045968715665,5.835222046725385
349,34.0,1.0,127.06044391438375,-4.254448603628731,4.344647023070126
350,40.0,1.0,124.61699567498691,0.11577174060750077,5.1287487915436145
351,20.0,2.0,120.14065648760922,-4.3727903073018,3.429262338238939
352,27.0,2.0,127.85339933942691,-3.7377592143653833,4.149241202472694
353,28.0,1.0,111.02069566729992,-3.596629810561054,5.201273147411425
354,41.0,1.0,121.40992496116473,1.755294056954549,6.483626481715555
355,34.0,2.0,119.08335015944017,-0.6226212653648686,4.554678245848918
356,48.0,0.0,116.88808271994387,3.5242252737525632,9.795448629040616
357,34.0,1.0,120.85256246380214,-0.8295322786719803,5.826635895106666
358,33.0,4.0,115.07477116194438,-0.5851126082877456,5.445574139842753
359,34.0,3.0,122.31108692343703,1.5238398682417122,5.827942875797229
360,30.0,2.0,119.99440029322966,-2.21296831089138,4.589449139958678
361,39.0,1.0,114.15880134883484,1.809840537487998,7.20489379808958
362,35.0,1.0,126.14804210873275,-2.0706199588415304,4.945670244588317
363,43.0,1.0,132.5634914037633,1.3972037340287027,6.505452575068112
364,31.0,4.0,117.98462659191092,0.17162074575698283,5.411605031371301
365,37.0,0.0,123.85265030527579,-1.0373567388003775,5.912709528869279
366,31.0,0.0,128.53509901510515,-1.6751865119543723,5.120227288996834
367,34.0,1.0,115.40167222542,-0.024066682646785863,5.810421588361812
368,38.0,3.0,120.26333939481496,1.7057044506747352,7.113809185725288
369,37.0,0.0,118.70785969770097,-0.7394116632370555,5.392061701625972
370,35.0,2.0,112.38988481175839,-0.547840828455213,4.008944469229967
371,45.0,2.0,106.83477403104492,2.934294949144414,8.932896651843096
372,31.0,2.0,113.11233802182046,-0.3548179494162048,5.925411102409914
373,43.0,1.0,110.48764422821056,1.5597168430457304,6.963526324358355
374,35.0,2.0,118.50997470393182,0.7380250215854002,5.994826811002422
375,33.0,2.0,120.22777990139825,-2.7259970792732044,5.790203836936584
376,45.0,1.0,116.2799192074411,2.02019152031412,7.665482379227201
377,33.0,3.0,116.45667507518561,-0.9950179385903981,5.283567737504224
378,37.0,3.0,114.69603613214939,2.674239498308086,6.009256032219077
379,42.0,3.0,114.07508404806138,2.728713243961065,7.046579703037815
380,45.0,4.0,120.77461395739994,3.175699428143173,6.322440269697305
381,41.0,2.0,126.47437919387947,1.3148833327996958,6.835512931812596
382,38.0,0.0,123.7436095318955,-0.43841432634102506,5.999001765329493
383,35.0,1.0,124.17508537682814,0.27138513924649565,6.341654573380515
384,38.0,1.0,125.5678973082448,0.6779413402025998,6.624440131304933
385,34.0,1.0,120.22529523955039,0.7886792806716916,6.2472731750098855
386,32.0,1.0,128.2639068056494,-1.103880326433411,5.953245559753462
387,43.0,1.0,124.38966871493568,1.0216923479156126,7.653991438325126
388,34.0,2.0,120.04002953672452,-0.18503366959855355,4.416904595927102
389,34.0,5.0,113.24472653800564,2.0757774868789363,4.950815165502377
390,35.0,2.0,118.7017614883392,-1.098005690087627,5.1339856185106685
